year,inflation_rate,exchange_rate,gdp_growth,unemployment_rate,oil_rents_pct_gdp,reserves_usd_billion,current_account_pct_gdp
1991,13.0069731037427,9.90949166666666,0.358352601622002,3.831,14.3917349452664,4.68,2.02
1992,44.588842715023,17.298425,4.63119294610988,3.79,17.3838477866202,1.2,4.36
1993,57.1652528349217,22.0654,-2.03511877399539,4.023,28.7054393824039,1.64,-1.38
1994,57.031708911966,21.996,-1.81492448517923,4.064,18.6990486531124,1.65,-2.65
1995,72.8355022972636,21.8952583333333,-0.0726647640626794,4.152,16.2953221371822,1.71,-0.57
1996,29.2682926829272,21.884425,4.19592404666709,4.043,16.7094356163404,4.33,0.59
1997,8.52987421383633,21.88605,2.93709941923106,3.964,14.538489437452,7.78,0.08
1998,9.99637812386806,21.886,2.58125410190809,3.922,7.09759652792726,7.3,-0.55
1999,6.61837339479756,92.3381,0.584126892882125,3.986,10.1094177919185,5.65,0.86
2000,6.9332921556516,101.697333333333,5.01593475936546,3.953,22.0499275524037,10.1,10.74
2001,18.8736462093863,111.23125,5.91768464924425,3.9,15.2354705757222,10.65,3.37
2002,12.8765792031099,120.578158333333,15.3291557409618,3.669,11.1446404443733,7.57,1.14
2003,14.0317836131437,129.22235,7.34719496793299,3.637,12.1202192108891,7.42,3.24
2004,14.9980338183251,132.888025,9.25055822923169,3.59,14.4183481253408,17.26,12.4
2005,17.8634933661605,131.274333333333,6.43851652535925,3.727,17.695803965512,28.63,20.79
2006,8.22743678120907,128.651666666667,6.05942803202491,3.749,14.8803763188218,42.74,15.31
2007,5.38610421570143,125.808108333333,6.59113036066867,3.794,13.8343651228424,51.91,9.94
2008,11.583054796681,118.566666666667,6.76447277784263,3.792,15.529944090028,53.6,8.59
2009,12.5379242951095,148.88,8.03692510100366,3.763,8.67398818858118,43.13,4.7
2010,13.7400521363694,150.2975,8.00565591623166,3.744,12.0986066267503,33.31,3.57
2011,10.8261371880018,153.8625,5.30792420293915,3.77,15.5113433318503,33.69,2.57
2012,12.2242413020582,157.5,4.23006117492493,3.761,13.0904727134596,44.97,3.74
2013,8.49551838265678,157.311666666667,6.67133539308232,3.711,9.88011499667836,43.68,3.66
2014,8.04741087967907,158.552641666667,6.30971865521856,3.9,7.0738580847829,35.07,0.16
2015,9.00943498007706,192.440333333333,2.65269329541779,4.134,2.78345150643408,29.01,-3.13
2016,15.6968126387972,253.492,-1.61686894903467,4.499,2.68429043488445,28.02,1.25
2017,16.5022662139641,305.790109160005,0.805886619091581,4.83,5.47262882301734,40.5,3.61
2018,12.0951065173432,306.083688245234,1.92275734199798,5.069,7.69068153465603,43.72,1.73
2019,11.3964223378115,306.920951495222,2.20842927835211,5.206,6.51475056054778,39.38,-2.05
2020,13.2460234276598,358.810797258297,-6.36889840468527,5.714,3.31241719212516,38.03,-2.67
2021,16.9528457221608,401.152029220779,1.109252540249,5.404,6.24674969005013,41.73,-0.53
2022,18.8471877843274,425.979158066857,4.31882949157136,3.827,,36.81,0.16
2023,24.659550203114,645.194067883201,3.31590368111438,3.074,,33.45,1.32
2024,33.2416590552749,1478.96519740023,4.07106650147703,3.045,,40.41,7.54
2025,23.0101235833333,1518.38094813368,4.01336180700973,3.064,,46.02,4.83
