,inflation_rate,exchange_rate_change_pct,gdp_growth,unemployment_rate,oil_rents_pct_gdp,reserves_change_pct,current_account_pct_gdp
inflation_rate,1.0,-0.05799317341659359,-0.36042871972974866,0.000862503896791256,0.5030364475880772,-0.03683817966565244,-0.25924111308141085
exchange_rate_change_pct,-0.05799317341659359,1.0,-0.19777523091825283,-0.015786411177993297,-0.06978611542970606,-0.25240062992713946,-0.12718441216121182
gdp_growth,-0.36042871972974866,-0.19777523091825283,1.0,-0.6439311981211474,0.1232041926261887,0.04186530687074292,0.48361317719690855
unemployment_rate,0.000862503896791256,-0.015786411177993297,-0.6439311981211474,1.0,-0.5144300283361517,-0.093287137690054,-0.4356332081412573
oil_rents_pct_gdp,0.5030364475880772,-0.06978611542970606,0.1232041926261887,-0.5144300283361517,1.0,0.3544325846706725,0.33728554089725565
reserves_change_pct,-0.03683817966565244,-0.25240062992713946,0.04186530687074292,-0.093287137690054,0.3544325846706725,1.0,0.3900009879180813
current_account_pct_gdp,-0.25924111308141085,-0.12718441216121182,0.48361317719690855,-0.4356332081412573,0.33728554089725565,0.3900009879180813,1.0
