model,mae,rmse
"ARIMA(1,1,1)",5.510442386060236,7.347194855005506
"ARIMA(2,1,1)",8.448107145598485,10.610901626860967
Holt Damped Trend,9.354247392786444,11.293675761534436
Naive Baseline,9.55536476830156,11.498071685944556
Simple Exponential Smoothing,9.555364782636838,11.498071697857753
