year,actual_inflation,baseline_prediction,arima_prediction
2016,15.6968126387972,9.00943498007706,10.188596349101456
2017,16.5022662139641,9.00943498007706,10.50488429005381
2018,12.0951065173432,9.00943498007706,10.257506851766264
2019,11.3964223378115,9.00943498007706,10.004286920656538
2020,13.2460234276598,9.00943498007706,9.951075854901703
2021,16.9528457221608,9.00943498007706,10.012473480137674
2022,18.8471877843274,9.00943498007706,10.066200017789614
2023,24.659550203114,9.00943498007706,10.07427619788806
2024,33.2416590552749,9.00943498007706,10.059441551239956
2025,23.0101235833333,9.00943498007706,10.048184514266264
